Month,Patients
2019-05,686
2019-06,907
2019-07,957
2019-08,1001
2019-09,936
2019-10,1013
2019-11,959
2019-12,928
2020-01,950
2020-02,881
2020-03,937
2020-04,924
2020-05,978
2020-06,935
2020-07,1007
2020-08,1014
2020-09,904
2020-10,962
2020-11,904
2020-12,889
2021-01,933
2021-02,837
2021-03,969
2021-04,870
2021-05,903
2021-06,926
2021-07,978
2021-08,894
2021-09,867
2021-10,893
2021-11,908
2021-12,953
2022-01,969
2022-02,777
2022-03,938
2022-04,880
2022-05,892
2022-06,970
2022-07,951
2022-08,955
2022-09,919
2022-10,912
2022-11,896
2022-12,958
2023-01,931
2023-02,880
2023-03,922
2023-04,898
2023-05,927
2023-06,961
2023-07,919
2023-08,968
2023-09,920
2023-10,898
2023-11,881
2023-12,921
2024-01,909
2024-02,880
2024-03,906
2024-04,946
2024-05,213
